Input 				 MMPG with Bribe 	 MMPG without Bribe
randomgame-multi-21-8-5.pg 	 FinalAnswer : 0.75 	 FinalAnswer : 0.75
randomgame-multi-21-9-1.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5
randomgame-multi-21-9-2.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0
randomgame-multi-21-9-3.pg 	 FinalAnswer : 0.75 	 FinalAnswer : 0.75
randomgame-multi-21-9-4.pg 	 FinalAnswer : 0 	 FinalAnswer : 0
randomgame-multi-21-9-5.pg 	 FinalAnswer : 0.666667 	 FinalAnswer : 0.666667
randomgame-multi-21-10-1.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5
randomgame-multi-21-10-2.pg 	 FinalAnswer : 0.9 	 FinalAnswer : 0.8
randomgame-multi-21-10-3.pg 	 FinalAnswer : 0.466667 	 FinalAnswer : 0.466667
randomgame-multi-21-10-4.pg 	 FinalAnswer : 0.285714 	 FinalAnswer : 0.285714
randomgame-multi-21-10-5.pg 	 FinalAnswer : 0.333333 	 FinalAnswer : 0.333333
randomgame-multi-22-3-1.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-22-3-2.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-22-3-3.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-22-3-4.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-22-3-5.pg 	 FinalAnswer : 0.6 	 FinalAnswer : 0.6
randomgame-multi-22-4-1.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5
randomgame-multi-22-4-2.pg 	 FinalAnswer : 0.428571 	 FinalAnswer : 0.285714
randomgame-multi-22-4-3.pg 	 FinalAnswer : 0.611111 	 FinalAnswer : 0.611111
randomgame-multi-22-4-4.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-22-4-5.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5
randomgame-multi-22-5-1.pg 	 FinalAnswer : 0.571429 	 FinalAnswer : 0.571429
randomgame-multi-22-5-2.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.444444
randomgame-multi-22-5-3.pg 	 FinalAnswer : 0.666667 	 FinalAnswer : 0.666667
randomgame-multi-22-5-4.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-22-5-5.pg 	 FinalAnswer : 0.666667 	 FinalAnswer : 0.666667
randomgame-multi-22-6-1.pg 	 FinalAnswer : 0.785714 	 FinalAnswer : 0.785714
randomgame-multi-22-6-2.pg 	 FinalAnswer : 0.8 	 FinalAnswer : 0.8
